"ENSG00000091831" "ENSG00000082175" "ENSG00000141736" "y"
"TCGA-D8-A1JH-01A-11R-A13Q-07" 48.0499906494 32.073498206 37.5364584028 0
"TCGA-OL-A66L-01A-12R-A31O-07" 11.8831691176 3.57701840575 35.3510424932 0
"TCGA-E2-A1II-01A-11R-A144-07" 0.142704081925 0.194132777072 10.7281300929 0
"TCGA-A2-A0EQ-01A-11R-A034-07" 2.12986767805 0.0399392448205 30.1461395983 1
"TCGA-BH-A1FB-01A-11R-A13Q-07" 35.9853701076 60.4783382948 28.2456931684 0
"TCGA-A2-A0SX-01A-12R-A084-07" 1.36198657941 0.185325310847 21.6758542485 1
"TCGA-AR-A2LK-01A-11R-A180-07" 130.325097674 32.2536277755 29.9003213901 0
"TCGA-AN-A04D-01A-21R-A034-07" 0.0694329793252 0.0211973360637 21.3329576303 1
"TCGA-OL-A6VO-01A-12R-A33J-07" 0.824657417764 0.0124458293155 24.9120688221 1
"TCGA-A2-A0CY-01A-12R-A034-07" 52.4839486672 0.332570856724 16.8421275526 0
"TCGA-A7-A6VX-01A-12R-A33J-07" 51.596777519 0.179702745171 31.4039504606 0
"TCGA-AR-A1AH-01A-11R-A12D-07" 0.0316573410297 0.0303571782434 34.1232253533 0
"TCGA-A8-A075-01A-11R-A084-07" 8.43926904237 0.364413877429 24.317413453 0
"TCGA-E2-A576-01A-11R-A31O-07" 52.1979062704 4.94758830671 57.5762193878 0
"TCGA-A7-A0DB-01A-11R-A00Z-07" 80.1952415767 23.5873360798 38.9327580749 0
"TCGA-A8-A08S-01A-11R-A034-07" 73.0194560018 3.79197471326 209.008194479 0
"TCGA-A8-A081-01A-11R-A00Z-07" 91.5532045726 0.05344938451 81.9237446764 0
"TCGA-C8-A130-01A-31R-A115-07" 22.4308109255 3.03039038405 42.1739569383 0
"TCGA-AC-A2FK-01A-12R-A180-07" 4.44093632444 18.2002577855 58.008022856 0
"TCGA-C8-A1HN-01A-11R-A137-07" 132.338194507 1.83485820713 53.4382466235 0
"TCGA-AR-A2LH-01A-31R-A18M-07" 5.05035626277 1.06003504909 35.4404598056 1
"TCGA-AO-A124-01A-11R-A10J-07" 0.041912811474 0.0147546714145 38.0615581301 1
"TCGA-A7-A6VW-01A-21R-A33J-07" 1.01330323554 0.0215130062529 16.6368404988 1
"TCGA-A7-A4SD-01A-11R-A266-07" 0.278899661531 0.0345792734189 26.0367208492 1
"TCGA-AQ-A04L-01B-21R-A10J-07" 7.99804113023 0.153878061059 33.5085148911 0
"TCGA-D8-A4Z1-01A-21R-A266-07" 11.5721407983 12.7280345171 57.8285466385 0
"TCGA-A7-A26E-01B-06R-A277-07" 115.107832389 10.2018890894 22.5273641009 0
"TCGA-AR-A2LO-01A-31R-A18M-07" 18.0910320272 12.6596725229 42.4912087181 0
"TCGA-AC-A2FF-01A-11R-A17B-07" 4.63894572329 12.2845008323 51.5579493165 0
"TCGA-3C-AALJ-01A-31R-A41B-07" 28.0299234062 1.63780779421 54.891442364 0
"TCGA-A8-A09G-01A-21R-A00Z-07" 2.04293873355 0.0592893287057 244.051456198 0
"TCGA-D8-A1XT-01A-11R-A14M-07" 0.302168798954 0.126761596749 692.719671482 0
"TCGA-AQ-A54O-01A-11R-A266-07" 29.1681973306 4.12153674797 26.198150621 0
"TCGA-AR-A2LR-01A-12R-A18M-07" 0.250195495077 0.184675262669 21.3903230218 1
"TCGA-BH-A0H9-01A-11R-A056-07" 81.9182128102 1.56164883517 35.87246031 0
"TCGA-D8-A1XJ-01A-11R-A14M-07" 33.4933369045 0.230725608227 1023.35480568 0
"TCGA-E9-A1N5-01A-11R-A14D-07" 27.7783987132 25.7911605754 16.8850760992 0
"TCGA-EW-A1P3-01A-11R-A144-07" 45.9034267253 12.0566807296 67.2250864242 0
"TCGA-AN-A0XP-01A-11R-A109-07" 151.875858392 16.8604055803 49.1249644605 0
"TCGA-BH-A1FC-01A-11R-A13Q-07" 0.293282557367 0.0534168593558 9.83757531571 1
"TCGA-B6-A401-01A-11R-A239-07" 26.4057591909 23.7665380674 54.283700131 0
"TCGA-D8-A1XS-01A-11R-A14M-07" 44.9433149398 12.9635848739 63.7954532868 0
"TCGA-D8-A1XQ-01A-11R-A14M-07" 0.169918746306 0.0765847705408 18.3631215414 1
"TCGA-BH-A0E9-01B-11R-A115-07" 78.0140559749 13.8610215837 54.7301500431 0
"TCGA-A2-A0YC-01A-11R-A109-07" 71.6302116278 58.0992152399 73.4240779947 0
"TCGA-BH-A0GY-01A-11R-A056-07" 15.3574185976 38.4533312765 24.2950601064 0
"TCGA-A7-A425-01A-11R-A24H-07" 36.5825554883 8.71194606693 34.4169778341 0
"TCGA-AR-A5QP-01A-11R-A28M-07" 45.0480088259 2.46270058626 35.4032931576 0
"TCGA-E2-A1L7-01A-11R-A144-07" 29.6067506816 22.9778674519 10.3341783368 1
"TCGA-AQ-A7U7-01A-22R-A352-07" 13.537237232 23.8716102808 20.3213115224 0
"TCGA-PE-A5DE-01A-11R-A27Q-07" 30.8998215399 9.55322406252 21.402826123 0
"TCGA-AN-A0XT-01A-11R-A109-07" 159.592698579 1.00559644728 22.6945081298 0
"TCGA-A2-A4S3-01A-21R-A266-07" 49.3863245576 6.12334073139 25.7512053495 0
"TCGA-LL-A6FQ-01A-11R-A31O-07" 38.9477323893 0.68556173633 71.1805823456 0
"TCGA-BH-A0W3-01A-11R-A109-07" 134.921494835 11.9132197542 65.4312597654 0
"TCGA-A8-A083-01A-21R-A00Z-07" 190.090874814 8.05128210588 54.5794662089 0
"TCGA-E9-A3X8-01A-31R-A22U-07" 10.7463481527 10.126303163 21.7504014083 0
"TCGA-BH-A0RX-01A-21R-A084-07" 3.09634322199 0.828340032689 15.164554819 1
"TCGA-C8-A12W-01A-11R-A115-07" 16.4498179184 3.31364369201 44.7645906117 0
"TCGA-AR-A1AK-01A-21R-A12P-07" 25.7144186155 9.29361244808 43.5695054169 0
"TCGA-D8-A27P-01A-11R-A16F-07" 11.75522836 8.00644109293 60.669360308 0
"TCGA-AC-A5XS-01A-11R-A29R-07" 24.2532928821 1.81432880346 31.987282542 0
"TCGA-AR-A0TS-01A-11R-A115-07" 0.317567979818 0.1562696671 46.0294211119 1
"TCGA-C8-A26W-01A-11R-A16F-07" 36.3350503766 12.8163335517 102.32975575 0
"TCGA-A8-A07S-01A-11R-A034-07" 84.419505871 2.5851527216 38.1920808541 0
"TCGA-E2-A15A-01A-11R-A12D-07" 24.3368617569 3.75399795188 44.486790553 0
"TCGA-C8-A12Q-01A-11R-A115-07" 1.20834630925 0.351964611952 763.451988959 0
"TCGA-A7-A426-01A-22R-A24H-07" 20.826201713 19.1454796558 29.309872079 0
"TCGA-BH-A0HU-01A-11R-A034-07" 33.3923765993 2.96057930289 36.100743845 0
"TCGA-BH-A0E6-01A-11R-A034-07" 1.37004958012 0.16749179896 23.3653090503 1
"TCGA-A2-A3XW-01A-11R-A239-07" 5.40460741941 0.739020166039 43.1859168069 0
"TCGA-AR-A24X-01A-11R-A169-07" 17.6486826901 37.9827718277 51.200363248 0
"TCGA-A2-A0D3-01A-11R-A115-07" 42.3723573756 39.7925094425 54.7268299714 0
"TCGA-D8-A73W-01A-22R-A352-07" 42.9856845662 0.0862041376736 31.6100082997 0
"TCGA-AO-A0J5-01A-11R-A034-07" 32.8093641792 0.170746274138 31.6600220633 0
"TCGA-BH-A0DL-01A-11R-A115-07" 6.98732048696 0.0405531577531 9.92179061071 0
"TCGA-E2-A14Y-01A-21R-A12D-07" 0.672988301735 0.0268321979801 487.896807651 0
"TCGA-A8-A08T-01A-21R-A00Z-07" 65.7858190602 2.07223729723 42.4735815455 0
"TCGA-S3-AA15-01A-11R-A41B-07" 0.869880561278 0.21856740438 8.97909569449 1
"TCGA-AR-A2LN-01A-21R-A18M-07" 16.8887619846 1.84083279477 34.6235981086 0
"TCGA-A8-A08P-01A-11R-A00Z-07" 29.0904320634 2.11974202408 61.3872334754 0
"TCGA-LQ-A4E4-01A-11R-A266-07" 105.976183141 0.357691968619 35.6642255536 0
"TCGA-BH-A18T-01A-11R-A12D-07" 0.606816150334 0.0438610180421 29.3480694269 1
"TCGA-EW-A1OV-01A-11R-A144-07" 0.22802145771 0.0271783571062 28.9084485067 1
"TCGA-BH-A0HN-01A-11R-A10U-07" 88.3179838729 3.9483639079 57.8212956049 0
"TCGA-OL-A66H-01A-11R-A29R-07" 36.2142591006 1.07660311473 33.3341369338 0
"TCGA-AQ-A04H-01B-11R-A10J-07" 140.472304527 0.136523438169 161.739564935 0
"TCGA-AN-A0AK-01A-21R-A00Z-07" 52.8392897762 0.0843065396853 58.2765784275 0
"TCGA-D8-A1JU-01A-11R-A13Q-07" 50.3925453768 2.33980868525 35.6809730299 0
"TCGA-B6-A0WW-01A-11R-A109-07" 115.859189136 2.91329992282 48.8918113433 0
"TCGA-LL-A740-01A-21R-A32P-07" 0.30222324824 0.115332940871 68.5578402141 1
"TCGA-E2-A15C-01A-31R-A12D-07" 81.3241191327 38.0956000873 59.2200051573 0
"TCGA-OL-A6VR-01A-32R-A33J-07" 20.4914626248 58.9748863198 37.2612806346 0
"TCGA-Z7-A8R6-01A-11R-A41B-07" 25.6133627627 7.95931625089 26.6011900435 0
"TCGA-GM-A2DK-01A-21R-A180-07" 52.3528271068 1.98293032302 44.3210236418 0
"TCGA-AO-A1KP-01A-11R-A13Q-07" 73.5459358414 33.9310623161 17.3779710375 0
"TCGA-AR-A2LL-01A-11R-A180-07" 154.209972672 36.5563151754 90.615338329 0
"TCGA-BH-A28Q-01A-11R-A16F-07" 34.3973366266 24.0476143346 53.4328739559 0
"TCGA-V7-A7HQ-01A-11R-A33J-07" 24.1849619685 24.9083428788 35.7142643195 0
